,Title,Director,Year,Country
0,The 8th Plague,Franklin Guerrero Jr.,2006,USA
1,13 Eerie,Lowell Dean,2013,Canada
2,28 Days Later...,Danny Boyle,2002,"UK, Spain"
3,28 Weeks Later,Juan Carlos Fresnadillo,2007,"UK, Spain"
4,Abraham Lincoln vs. Zombies,Richard Schenkman,2012,USA
5,After Sundown,"Christopher Abram, Michael W. Brown",2006,USA
6,The Alien Dead,Fred Olen Ray,1980,USA
7,All Souls' Day,Alan Gilsenan,1997,Ireland
8,Alone,Çagan Irmak,2008,Turkey
9,Alone,Çagan Irmak,2008,Turkey
10,The Amazing Adventures of the Living Corpse,Justin Paul Ritter,2012,USA
11,American Zombie,Grace Lee,2007,"USA, South Korea"
12,Anger of the Dead,Francesco Picone,2013,Italy
13,Anna and the Apocalypse,John McPhail,2017,UK
14,April Apocalypse,Jarret Tarnol,2013,USA
15,The Astro-Zombies,Ted V. Mikels,1968,USA
16,Automaton Transfusion,Steven C. Miller,2006,USA
17,Autumn,Özcan Alper,2008,"Turkey, Germany"
18,Baron Blood,Mario Bava,1972,"Italy, West Germany, USA"
19,Bath Salt Zombies,Dustin Mills,2013,USA
20,The Battery,Jeremy Gardner,2012,USA
21,Battle of the Damned,Christopher Hatton,2013,"USA, Singapore"
22,Battlefield Baseball,Yudai Yamaguchi,2003,Japan
23,Before Dawn,Dominic Brunt,2013,UK
24,Beneath Still Waters,Brian Yuzna,2005,"Spain, UK"
25,Beneath the Surface,Daniel Fridell,1997,Sweden
26,Beverly Hills Bodysnatchers,Jonathan Mostow,1989,USA
27,Beverly Lane,Joshua Hull,2010,USA
28,The Beyond,Lucio Fulci,1981,Italy
29,Beyond Re-Animator,Brian Yuzna,2003,"Spain, USA"
30,Bio-Zombie,Wilson Yip,1998,Hong Kong
31,Biohazardous,Michael J. Hein,2001,USA
32,Black Demons,Umberto Lenzi,1991,Italy
33,Black Magic 2,N/A,1994,USA
34,Black Sheep,Jonathan King,2006,New Zealand
35,Black Swarm,David Winning,2007,Canada
36,Bled White,Jose Carlos Gomez,2009,USA
37,Block Z,Mikhail Red,2020,Philippines
38,Blood Creek,Joel Schumacher,2009,USA
39,Blood Quantum,Jeff Barnaby,2019,Canada
40,Blood of the Beast,Georg Koszulinski,2003,USA
41,Bone Sickness,Brian Paulin,2004,USA
42,The Boneyard,James Cummins,1991,USA
43,The Book of Zombie,"Paul Cranefield, Scott Kragelund, Erik Van Sant",2010,USA
44,Bowery at Midnight,Wallace Fox,1942,USA
45,Boy Eats Girl,Stephen Bradley,2005,"Ireland, UK"
46,Brain Blockers,Lincoln Kupchak,2007,USA
47,Brain Dead,Adam Simon,1990,USA
48,BrainDead,N/A,2016,USA
49,Bride of Re-Animator,Brian Yuzna,1990,USA
50,Broken Springs,Neeley Lawson,2010,Italy
51,Burial Ground: The Nights of Terror,Andrea Bianchi,1981,USA
52,The Burning Dead,Rene Perez,2015,USA
53,Burying the Ex,Joe Dante,2014,Australia
54,Cargo,"Ben Howling, Yolanda Ramke",2017,USA
55,The Cabin in the Woods,Drew Goddard,2011,USA
56,Caustic Zombies,Johnny Daggers,2011,"Italy, France, Germany"
57,Cemetery Man,Michele Soavi,1994,USA
58,Cell,Tod Williams,2016,UK
59,The Children,Tom Shankland,2008,USA
60,Children of the Living Dead,Tor Ramsey,2001,USA
61,Children Shouldn't Play with Dead Things,Bob Clark,1972,Czech Republic
62,Choking Hazard,Marek Dobes,2004,USA
63,Chopper Chicks in Zombietown,Dan Hoskins,1989,USA
64,Christmas with the Dead,T.L. Lankford,2012,USA
65,C.H.U.D. II: Bud the Chud,David Irving,1989,USA
66,Cooties,"Jonathan Milott, Cary Murnion",2014,Italy
67,City of the Living Dead,Lucio Fulci,1980,USA
68,City of Rott,Frank Sudol,2006,UK
69,Cockneys vs Zombies,Matthias Hoene,2012,UK
70,Colin,Marc Price,2008,USA
71,Collapse,Chris Smith,2009,USA
72,Contracted,Eric England,2013,USA
73,Contracted: Phase II,Josh Forbes,2015,USA
74,Corpses Are Forever,Jose Prendes,2004,USA
75,Creature with the Atom Brain,Edward L. Cahn,1955,USA
76,Creepshow,George A. Romero,1982,USA
77,The Crypt,Craig McMahon,2009,"Ireland, France"
78,The Cured,David Freyne,2017,USA
79,Evil Grave: Curse of the Maya,David Heavener,2004,USA
80,Dance of the Dead,Gregg Bishop,2008,"Finland, Iceland"
81,Dark Floors,"Pete Riski, Alan Smithee",2008,USA
82,Dark Harvest,Paul Moore,2004,"USA, Canada, Japan, France"
83,Dawn of the Dead,Zack Snyder,2004,"USA, Canada, Japan, France"
84,Dawn of the Dead,Zack Snyder,2004,USA
85,Dawn of the Mummy,Frank Agrama,1981,USA
86,Day of the Dead,George A. Romero,1985,USA
87,Day of the Dead,George A. Romero,1985,USA
88,Day of the Dead 2: Contagium,"Ana Clavell, James Glenn Dudelson",2005,"Bulgaria, USA"
89,Day of the Dead: Bloodline,Hèctor Hernández Vicens,2017,"Canada, France"
90,Days of Darkness,Denys Arcand,2007,UK
91,The Dead,"Howard J. Ford & Jonathan Ford",2010,UK
92,The Dead 2: India,"Howard J. Ford & Jonathan Ford",2013,USA
93,Dead 7,Danny Roew,2016,USA
94,Dead Air,Corbin Bernsen,2009,USA
