,Title
0,['The 8th Plague']
1,['13 Eerie']
2,['28 Days Later']
3,['28 Weeks Later']
4,['Abraham Lincoln vs. Zombies']
5,['After Sundown']
6,['Alien Dead']
7,['All Souls Day']
8,['Alone']
9,['Alone']
10,['The Amazing Adventures of the Living Corpse']
11,['American Zombie']
12,['Anger of the Dead']
13,['Anna and the Apocalypse']
14,['April Apocalypse']
15,['The Astro-Zombies']
16,['Automaton Transfusion']
17,['Autumn']
18,"['Baron Blood ', 'Gli orrori del castello di Norimberga)']"
19,['Bath Salt Zombies']
20,['The Battery']
21,"['Battle Girl: The Living Dead in Tokyo Bay ', 'Batoru gâru)']"
22,['Battle of the Damned']
23,"['Battlefield Baseball ', 'Jigoku Kôshien)']"
24,['Before Dawn']
25,['Beneath Still Waters']
26,['Beneath the Surface']
27,['Beverly Hills Bodysnatchers']
28,['Beverly Lane']
29,['The Beyond']
30,['Beyond Re-Animator']
31,"['Big Tits Zombie ', 'Big Tits Dragon: Hot Spring Zombie vs. Stripper 5)']"
32,"['Bio Zombie ', 'Sun faa sau si)']"
33,['Biohazardous']
34,"['Black Demons ', 'Dèmoni 3)']"
35,"['Black Magic 2 ', 'Gou hun jiang tou, Revenge of the Zombies)']"
36,['Black Sheep']
37,"['Black Swarm ', 'Night of the Drones)']"
38,['Bled White']
39,['Block Z']
40,"['Blood Creek ', 'Creek, Town Creek)']"
41,['Blood Quantum']
42,['Blood of the Beast']
43,['Blood of Ghastly Horror']
44,['Bloodsuckers from Outer Space']
45,['Bone Sickness']
46,['The Boneyard']
47,['The Book of Zombie']
48,['Bowery at Midnight']
49,['Boy Eats Girl']
50,['Brain Blockers']
51,['Brain Dead']
52,"['Braindead ', 'Dead Alive)']"
53,['Bride of Re-Animator']
54,"['Broken Springs ', 'Broken Springs: Shrine of the Undead Zombie Bastards)']"
55,['Burial Ground: The Nights of Terror']
56,['The Burning Dead']
57,['Burying The Ex']
58,['Cargo']
59,['The Cabin in the Woods']
60,['Caustic Zombies']
61,"['Cemetery Man ', 'Dellamorte Dellamore)']"
62,['Cell']
63,['The Children']
64,['Children of the Living Dead']
65,"[""Children Shouldn't Play with Dead Things""]"
66,['Choking Hazard']
67,['Chopper Chicks in Zombietown']
68,['Christmas with the Dead']
69,['C.H.U.D. II: Bud the C.H.U.D.']
70,['Cooties']
71,['City of the Living Dead']
72,['City of Rott']
73,['Cockneys vs Zombies']
74,['Colin']
75,['Collapse']
76,['Contracted']
77,['Contracted: Phase II']
78,['Corpses Are Forever']
79,['Creature with the Atom Brain']
80,['Creepshow']
81,['The Cross of the Devil']
82,['The Crypt']
83,['The Cured']
84,"['The Curse of the Doll People ', 'Munecos infernales)']"
85,"['Curse of the Living Dead ', 'Les Démoniaques)']"
86,"['Curse of the Maya ', 'Dawn of the Living Dead, Evil Grave: Curse of the Maya)']"
87,['Dance of the Dead']
88,['Dark Floors']
89,['Dark Harvest']
90,['Dawn of the Dead']
91,['Dawn of the Dead']
92,['Dawn of the Mummy']
93,['Day of the Dead']
94,['Day of the Dead']
95,['Day of the Dead 2: Contagium']
96,['Day of the Dead: Bloodline']
97,['Days of Darkness']
98,['The Dead']
99,['The Dead 2: India']
100,['Dead 7']
101,['Dead Air']
102,['Dead & Breakfast']
103,['Dead & Buried']
104,['The Dead and the Damned']
105,['The Dead and the Damned 2']
106,['Dead and Deader']
107,['Dead Before Dawn']
108,"[""The Dead Don't Die""]"
109,['Dead Earth']
110,['The Dead Hate the Living!']
111,['Dead Heat']
112,['The Dead Inside']
113,['Dead Meat']
114,['Dead Men Walking']
115,['Dead Moon Rising']
116,['The Dead Next Door']
117,"['The Dead One ', 'Blood of the Zombie)']"
118,"['El Muerto ', 'The Dead One)']"
119,['The Dead Outside']
120,['The Dead Pit']
121,['Dead Rising: Endgame']
122,['Dead Rising: Watchtower']
123,['Dead Sands']
124,['Dead Snow']
125,['Dead Snow: Red vs. Dead']
126,['Dead Space: Downfall']
127,['Dead Within']
128,['Deadgirl']
129,['DeadHeads']
130,['Deadly Friend']
131,['Death Warmed Up']
132,"['Deathdream ', 'Dead of Night)']"
133,['Deathwatch']
134,['Decay']
135,['Deep River: The Island']
136,"['Descendents ', 'Solos)']"
137,['Detention of the Dead']
138,"[""The Devil's Daughter "", 'Pocomania)']"
139,"[""Devil's Playground""]"
140,['Diary of the Dead']
141,"['Die-ner ', 'Get It?)']"
142,['Die You Zombie Bastards!']
143,['Die Zombiejäger']
144,"['The Discarnates ', 'Summer Among the Zombies, Ijintachi tono natsu)']"
145,['Doc of the Dead']
146,"[""Doctor Blood's Coffin""]"
147,['Doghouse']
148,"[""Don't Go in the House""]"
149,['Doom']
150,['Dorm of the Dead']
151,"['Dr. Satán y la magia negra ', 'Dr. Satan Versus Black Magic)']"
152,['Dylan Dog: Dead of Night']
153,['The Earth Dies Screaming']
154,"['Eat Me! ', 'The Eaters)']"
155,['Ed and His Dead Mother']
156,['Edges of Darkness']
157,"['In un giorno la fine ', 'The End?)']"
158,"['Endzeit ', 'Ever After)']"
159,"['Erotic Nights of the Living Dead ', 'Sexy Nights of the Living Dead)']"
160,"['Evil ', 'To Κακό)']"
161,['Evil Head']
162,"['Evil: In the Time of Heroes ', 'To Κακό 2: Στην Eποχή Tων Hρώων)']"
163,['Exhumed']
164,['Exit Humanity']
165,['Extinction']
166,['Fading of the Cries']
167,['Fantasy Island']
168,['Fido']
169,"['Flesheater ', 'Zombie Nosh)']"
170,['Flick']
171,['Flight of the Living Dead: Outbreak on a Plane']
172,['The Fog']
173,"['Forbidden Siren ', 'Sairen)']"
174,['Forest of the Dead']
175,['The Four Skulls of Jonathan Drake']
176,['Frankenhooker']
177,['Frankenstein Island']
178,"[""Frankenstein's Army""]"
179,['Freaks of Nature']
180,['The Frozen Dead']
181,['Frozen Scream']
182,['Gallowwalkers']
183,"['Gangs of the Dead ', 'Last Rites)']"
184,['Garden of the Dead']
185,['George: A Zombie Intervention']
186,['Germ Z']
187,['The Ghost Breakers']
188,"['Ghost Brigade ', 'The Lost Brigade)']"
189,['The Ghost Galleon']
190,"['The Ghouls ', 'Cannibal Dead: The Ghouls, Urban Cannibals)']"
191,['The Girl with All the Gifts']
192,['Go Goa Gone']
193,['Goal of the Dead']
194,['Gory Gory Hallelujah']
195,['Grave Mistake']
196,['Graveyard Alive: A Zombie Nurse in Love']
197,['The Guard Post']
198,"['The Hanging Woman ', 'Return of the Zombies)']"
199,"['Hell of the Living Dead ', 'Night of the Zombies)']"
200,['Here Alone']
201,"['The Hidan of Maukbeiangjow', 'Invasion of the Girl Snatchers, Kaspar and Prudence Laugh Till It Hurts at The Killers of the Zombie Plot: A Musical)']"
202,['Hide and Creep']
203,['The Hive']
204,['Hood of the Living Dead']
205,"['The Horde ', 'La Horde)']"
206,"['Horror Express ', 'Pánico en el Transiberiano, Panic on the Trans-Siberian Express)']"
207,['The Horror of Party Beach']
208,['Horror Rises from the Tomb']
209,['Horrors of War']
210,['Horrorween']
211,['The House by the Cemetery']
212,['House of the Damned']
213,['House of the Dead']
214,['House of the Dead 2']
215,['The House of Seven Corpses']
216,['Hysterical']
217,['I Am a Hero']
218,['I Am Legend']
219,['I Am Omega']
220,"['I Eat Your Skin ', 'Zombies)']"
221,"['Inmate Zero ', 'Patients of a Saint)']"
222,['I Sell the Dead']
223,['I Survived a Zombie Holocaust']
224,['I Walked with a Zombie']
225,['I Was a Teenage Zombie']
226,['I Was a Zombie for the F.B.I.']
227,"['I, Zombie: The Chronicles of Pain ', 'I, Zombie)']"
228,['The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies']
229,['Insanitarium']
230,['Invisible Invaders']
231,"['Island: Wedding of the Zombies ', 'Ada: Zombilerin Düğünü, The Zombie Wedding)']"
232,"['Isle of the Snake People ', 'La muerte viviente)']"
233,['It Stains the Sands Red']
234,['JeruZalem']
235,"['Juan of the Dead ', 'Juan de los Muertos)']"
236,"['Junk ', 'Shiryo-gari)']"
237,"['Kampung Zombie ', 'Zombie Village)']"
238,['Killing Spree']
239,['King of the Zombies']
240,"['The Kirishima Thing ', 'Kirishima, Bukatsu Yamerutteyo)']"
241,"['Kiss Daddy Goodbye ', 'Revenge of the Zombie)']"
242,['KL Zombi']
243,"['Kung Fu Zombie ', 'Wu long tian shi zhao ji gui)']"
244,"['L.A. Zombie ', 'Gay of the Dead)']"
245,['Land of the Dead']
246,['The Last Days on Mars']
247,"['The Last Man on Earth ', ""L'ultimo uomo della Terra)""]"
248,['Last of the Living']
249,['Last Rites of the Dead']
250,['The Legend of the 7 Golden Vampires']
251,['Legion of the Night']
252,['Let Sleeping Corpses Lie']
253,['Life After Beth']
254,['Lifeforce']
255,['A Little Bit Zombie']
256,['Little Monsters']
257,['Livelihood']
258,['Machine Head']
259,['The Mad']
260,['Maggie']
261,['Make-out with Violence']
262,['Maniac']
263,['Maniac Cop']
264,['Maniac Cop 2']
265,['Mansion of the Living Dead']
266,['Meat Market']
267,['Meat Market 2']
268,['Messiah of Evil']
269,['Miruthan']
270,['Miss Zombie']
271,"['Monstrosity ', 'The Atomic Brain)']"
272,"['La Morte Vivante ', 'The Living Dead Girl)']"
273,['Mortuary']
274,['Mulberry Street']
275,['Mutant']
276,['Mutants']
277,"[""My Boyfriend's Back""]"
278,"['Die Nacht der lebenden Loser ', 'Night of the Living Dorks)']"
279,['Navyseals vs. Zombies']
280,['Necropolis Awakened']
281,['Netherworld']
282,['The Night Eats the World']
283,['Night Life']
284,['Night of the Comet']
285,['Night of the Creeps']
286,"['Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Alien, Flesh Eating, Hellbound, Zombified Living Dead Part 2: In Shocking 2-D']"
287,"['Night of the Dead ', 'Night of the Leben Tod)']"
288,['Night of the Living Dead']
289,['Night of the Living Dead']
290,['Night of the Living Dead']
291,"['Night of the Living Dead 3D ', 'Night of the Living DE3D)']"
292,['Night of the Living Dead 3D: Re-Animation']
293,['Night of the Living Dead: Darkest Dawn']
294,['Night of the Living Dead: Reanimated']
295,['Night of the Living Dead: Resurrection']
296,['Night of the Living Deb']
297,['Night of the Seagulls']
298,['The Night Shift']
299,"['Nightmare City ', 'City of the Walking Dead)']"
300,['Ninjas vs. Zombies']
301,['Nixon and Hogan Smoke Christmas']
302,['Nudist Colony of the Dead']
303,['Oasis of the Zombies']
304,['The Odd Family: Zombie on Sale']
305,"['Oh! My Zombie Mermaid ', 'Â! Ikkenya puroresu)']"
306,['Ojuju']
307,['One Cut of the Dead']
308,['One Dark Night']
309,['Open Grave']
310,['Ouanga']
311,['Outpost']
312,['Outpost: Black Sun']
313,['Outpost: Rise of the Spetsnaz']
314,['Overlord']
315,['Ozone']
316,['ParaNorman']
317,['Pathogen']
318,['Patient Zero']
319,['Peninsula']
320,['Pet Sematary']
321,['Pet Sematary']
322,['Pet Sematary Two']
323,['Phantasm']
324,['Phantasm II']
325,['Phantasm III: Lord of the Dead']
326,"['Phi Ha Ayodhaya ', 'The Black Death)']"
327,['Pirates of the Caribbean: On Stranger Tides']
328,['Plaga Zombie']
329,['Plaga Zombie: Zona Mutante']
330,"['The Plague ', ""Clive Barker's The Plague)""]"
331,['The Plague of the Zombies']
332,['Plaguers']
333,['Plan 9 from Outer Space']
334,['Planet Terror']
335,['Pontypool']
336,['Pop Punk Zombies']
337,['Portrait of a Zombie']
338,['Poultrygeist: Night of the Chicken Dead']
339,"['Premutos: The Fallen Angel ', 'Premutos\xa0– Der gefallene Engel, a.k.a. Premutos: Lord of the Living Dead)']"
340,['Pride and Prejudice and Zombies']
341,"['Prince of Darkness ', ""John Carpenter's Prince of Darkness)""]"
342,['Pro Wrestlers vs Zombies']
343,"[""Pushin' Up Daisies""]"
344,['Quarantine']
345,['Quarantine 2: Terminal']
346,['The Quick and the Undead']
347,['Rabid']
348,['Rabid']
349,['Raiders of the Living Dead']
350,"['Les Raisins de la Mort ', 'The Grapes of Death, Pesticide)']"
351,['Rammbock']
352,['Rampant']
353,['The Rape After']
354,"['Ravenous ', 'Les Affamés)']"
355,['Re-Animator']
356,['REC']
357,['REC 2']
358,['REC 3: Genesis']
359,['REC 4: Apocalypse']
360,['Redcon-1']
361,['Redneck Zombies']
362,['Reel Zombies']
363,['Reichsführer SS']
364,"['Remains ', ""Steve Niles' Remains)""]"
365,"['Remington and the Curse of the Zombadings ', 'Zombadings 1: Patayin sa Shokot si Remington)']"
366,['Resident Evil']
367,['Resident Evil: Afterlife']
368,['Resident Evil: Apocalypse']
369,['Resident Evil: Damnation']
370,"['Resident Evil: Degeneration ', 'Biohazard: Degeneration)']"
371,['Resident Evil: Extinction']
372,['Resident Evil: The Final Chapter']
373,['Resident Evil: Retribution']
374,['Resident Evil: Vendetta']
375,['Return of the Blind Dead']
376,['The Return of the Living Dead']
377,['Return of the Living Dead Part II']
378,['Return of the Living Dead 3']
379,['Return of the Living Dead: Necropolis']
